INFO   | jvm 1    | 2012/12/03 19:42:30 | 19:42:30.125 INFO - using the json request : {"class":"org.openqa.grid.common.RegistrationRequest","capabilities":[{"platform":"VISTA","browserName":"firefox","maxInstances":"3"}],"configuration":{"port":4446,"host":"10.0.2.15","hubHost":"localhost","registerCycle":5000,"hub":"http://localhost:4445/grid/register","url":"http://10.0.2.15:4446","remoteHost":"http://10.0.2.15:4446","register":true,"proxy":"org.openqa.grid.selenium.proxy.DefaultRemoteProxy","maxSession":5,"browser":"browserName=firefox,maxInstances=3","role":"webdriver","hubPort":4445}}
INFO   | jvm 1    | 2012/12/03 19:42:30 | 19:42:30.393 INFO - starting auto register thread. Will try to register every 5000 ms.
INFO   | jvm 1    | 2012/12/03 19:42:30 | 19:42:30.403 INFO - Registering the node to hub :http://localhost:4445/grid/register
INFO   | jvm 1    | 2012/12/03 19:42:36 | 19:42:36.639 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@129617b at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:42:36 | 19:42:36.718 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:42:41 | 19:42:41.336 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@12cc460 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:42:41 | 19:42:41.336 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:42:45 | 19:42:45.832 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@ee336f at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:42:45 | 19:42:45.832 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:42:50 | 19:42:50.642 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@1e94776 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:42:50 | 19:42:50.642 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:42:55 | 19:42:55.559 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@2a4591 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:42:55 | 19:42:55.559 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:43:00 | 19:43:00.854 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@85c106 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:43:00 | 19:43:00.854 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:43:06 | 19:43:06.264 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@1bb4422 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:43:06 | 19:43:06.264 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:43:11 | 19:43:11.372 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@1e70b3e at URL: /status)
