STATUS | wrapper  | 2012/12/02 04:02:29 | Service is running.  Stopping it...
INFO   | jvm 1    | 2012/12/03 19:43:31 | 19:43:31.221 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@90da40 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:43:31 | 19:43:31.221 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:43:36 | 19:43:36.237 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@1f2a8f5 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:43:36 | 19:43:36.237 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:43:41 | 19:43:41.254 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@9ec9cd at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:43:41 | 19:43:41.254 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:43:46 | 19:43:46.271 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@12036a1 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:43:46 | 19:43:46.271 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:43:51 | 19:43:51.288 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@48d0ea at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:43:51 | 19:43:51.288 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:43:56 | 19:43:56.305 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@1d8add3 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:43:56 | 19:43:56.305 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:44:01 | 19:44:01.323 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@1ac14dd at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:44:01 | 19:44:01.323 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:44:06 | 19:44:06.340 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@ff8e3a at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:44:06 | 19:44:06.340 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:44:11 | 19:44:11.357 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@11a82fd at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:44:11 | 19:44:11.357 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:44:16 | 19:44:16.374 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@79f5f7 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:44:16 | 19:44:16.374 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:44:21 | 19:44:21.392 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@120be93 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:44:21 | 19:44:21.392 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:44:26 | 19:44:26.409 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@1596e13 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:44:26 | 19:44:26.409 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:44:31 | 19:44:31.426 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@157bbd4 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:44:31 | 19:44:31.426 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:44:36 | 19:44:36.443 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@1bfd316 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:44:36 | 19:44:36.443 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:44:41 | 19:44:41.460 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@3d2a58 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:44:41 | 19:44:41.460 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:44:46 | 19:44:46.478 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@7eef21 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:44:46 | 19:44:46.478 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:44:51 | 19:44:51.495 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@1f4c39d at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:44:51 | 19:44:51.495 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:44:56 | 19:44:56.512 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@1c44935 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:44:56 | 19:44:56.512 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:45:01 | 19:45:01.529 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@fc912 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:45:01 | 19:45:01.529 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:45:06 | 19:45:06.546 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@c86119 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:45:06 | 19:45:06.546 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:45:11 | 19:45:11.564 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@136b690 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:45:11 | 19:45:11.564 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:45:16 | 19:45:16.581 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@d279e2 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:45:16 | 19:45:16.581 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:45:21 | 19:45:21.598 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@141bbea at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:45:21 | 19:45:21.598 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:45:26 | 19:45:26.615 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@1dcb677 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:45:26 | 19:45:26.615 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:45:31 | 19:45:31.634 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@1c9a682 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:45:31 | 19:45:31.634 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:45:36 | 19:45:36.651 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@1839755 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:45:36 | 19:45:36.651 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:45:42 | 19:45:42.076 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@193dfb0 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:45:42 | 19:45:42.076 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:45:47 | 19:45:47.596 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@17b8705 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:45:47 | 19:45:47.596 INFO - Done: /status
